,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Train_F1,CV_F1_mean,CV_F1_std,CV_ROC_AUC_mean,CV_PR_AUC_mean
XGBoost (tuned),0.6432650730194991,0.3088279906967337,0.6152296535052377,0.4112300545344375,0.6859538858811576,0.35382829430006124,0.4658769686364248,0.42011761877112636,0.003427811750301545,0.6967230773394106,0.3659127840232355
LightGBM (tuned),0.641225422207718,0.3067298960750681,0.6124093473005641,0.4087394957983193,0.6850485438894053,0.3528292795390549,0.4805818719344218,0.4172834133077069,0.0030893975856011004,0.6960943416687371,0.36470901659647526
LightGBM,0.6426531777759648,0.30812778002426205,0.6140209508460919,0.41033925686591277,0.6839284588165223,0.35120096974380666,0.4686606331796925,0.41813516214765106,0.0028943224675992926,0.6939450004654965,0.3623870848969212
Random Forest,0.7217100432405972,0.3441275167785235,0.41317485898468975,0.375503478579275,0.6715213990862083,0.3355382729917482,0.692964214539468,0.3694977602635302,0.005200324541585548,0.6797567929407198,0.3429423607189054
Logistic Regression,0.6038182263196541,0.28359161349134004,0.6267123287671232,0.3904857537341534,0.6590971310571666,0.319845695200097,0.40340873290907947,0.40179688187074936,0.003074576365535864,0.6704929382443466,0.33412999812468513
XGBoost,0.6356775719996737,0.2902168164992068,0.5527800161160354,0.38060891878771064,0.647337046684981,0.32810511589669256,0.4462258549023717,0.38250968705575766,0.005642296170235316,0.6525620929948885,0.3315002614305683
Decision Tree,0.6281308639960839,0.29190056134723336,0.5866236905721193,0.3898259705488621,0.6458761033404709,0.30209936248289476,0.4448933932179053,0.3912658794652404,0.001039046488899706,0.6473965502228053,0.2994258485299318
